geoid,name,B01003001,"B01003001, Error"
04000US25,Massachusetts,6742143,0
06000US2500103690,"Barnstable Town city, Barnstable County, MA",44498,29
06000US2500107175,"Bourne town, Barnstable County, MA",19780,22
06000US2500107980,"Brewster town, Barnstable County, MA",9879,18
06000US2500112995,"Chatham town, Barnstable County, MA",6142,21
06000US2500116775,"Dennis town, Barnstable County, MA",14067,49
06000US2500119295,"Eastham town, Barnstable County, MA",4924,20
06000US2500123105,"Falmouth town, Barnstable County, MA",31544,26
06000US2500129020,"Harwich town, Barnstable County, MA",12167,22
06000US2500139100,"Mashpee town, Barnstable County, MA",14080,24
06000US2500151440,"Orleans town, Barnstable County, MA",5847,31
06000US2500155500,"Provincetown town, Barnstable County, MA",2962,16
06000US2500159735,"Sandwich town, Barnstable County, MA",20508,18
06000US2500170605,"Truro town, Barnstable County, MA",1589,262
06000US2500174385,"Wellfleet town, Barnstable County, MA",3168,260
06000US2500182525,"Yarmouth town, Barnstable County, MA",23548,28
06000US2500300555,"Adams town, Berkshire County, MA",8266,32
06000US2500300975,"Alford town, Berkshire County, MA",418,66
06000US2500304545,"Becket town, Berkshire County, MA",1721,149
06000US2500313345,"Cheshire town, Berkshire County, MA",3192,21
06000US2500314010,"Clarksburg town, Berkshire County, MA",1652,104
06000US2500316180,"Dalton town, Berkshire County, MA",6682,30
06000US2500321360,"Egremont town, Berkshire County, MA",1202,159
06000US2500324120,"Florida town, Berkshire County, MA",793,106
06000US2500326815,"Great Barrington town, Berkshire County, MA",6933,19
06000US2500328180,"Hancock town, Berkshire County, MA",670,127
06000US2500330315,"Hinsdale town, Berkshire County, MA",1955,175
06000US2500334340,"Lanesborough town, Berkshire County, MA",3019,26
06000US2500334655,"Lee town, Berkshire County, MA",5856,20
06000US2500334970,"Lenox town, Berkshire County, MA",5015,30
06000US2500342460,"Monterey town, Berkshire County, MA",827,108
06000US2500343300,"Mount Washington town, Berkshire County, MA",156,35
06000US2500344385,"New Ashford town, Berkshire County, MA",308,67
06000US2500345420,"New Marlborough town, Berkshire County, MA",1435,111
06000US2500346225,"North Adams city, Berkshire County, MA",13326,43
06000US2500351580,"Otis town, Berkshire County, MA",1576,183
06000US2500353050,"Peru town, Berkshire County, MA",826,94
06000US2500353960,"Pittsfield city, Berkshire County, MA",43632,41
06000US2500356795,"Richmond town, Berkshire County, MA",1508,139
